web-scraper-order,web-scraper-start-url,Paginacja,Tytuł,Teksty
"1688744967-202","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-golden-slumbers.htm","""Golden Slumbers""","Once there was a way to get back homeward 

        Once there was a way to get back home 

        Sleep pretty darling do not cry 

        And I will sing a lullaby"
"1688744970-203","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-glass-onion.htm","""Glass Onion""","I told you about strawberry fields 

        You know the place where nothing is real 

        Well here's another place you can go 

        Where everything flows 

        Looking through the bent backed tulips 

        To see how the other half live 

        Looking through a glass onion"
"1688744973-204","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-glad-all-over.htm","""Glad All Over""","Lyrics go here"
"1688744976-205","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-girl.htm","""Girl""","Is there anybody going to listen to my story 

        All about the girl who came to stay? 

        She's the kind of girl 

        you want so much it make you sorry 

        Still you don't regret a single day 

        Ah, girl, Girl, Girl"
"1688744979-206","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-getting-better.htm","""Getting Better""","It's getting better all the time 

        I used to get mad at my school 

        The teachers that taught me weren't cool 

        You're holding me down 

        Burning me round 

        filling me up with the rules"
"1688744982-207","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-get-back.htm","""Get Back""","Jo Jo was a man who thought he was a loner 

        But he knew it couldn't last 

        Jo Jo left his home in Tucson, Arizona 

        for some California grass"
"1688744985-208","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-from-us-to-you.htm","""From Us To You""","Lyrics go here"
"1688744988-209","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-from-me-to-you.htm","""From Me To You""","Da da da da da da da da 

        Da da da da da da da da 

        If there's anything that you want 

        If there's anything I can do 

        Just call on me and I'll send it along 

        With love, from me to you"
"1688744991-210","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-from-fluff-to-you.htm","""From Fluff To You""","Lyrics go here"
"1688744997-211","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-for-you-blue.htm","""For You Blue""","Because you're sweet and lovely girl, I love you 

        Because you're sweet and lovely girl, It's true 

        I love you more that ever girl, I do"
"1688745000-212","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-for-no-one.htm","""For No One""","You day breaks, your mind aches 

        You find that all her words 

        of kindness linger on 

        When she no longer needs you 

        She wakes up, she makes up 

        She takes her time and doesn't 

        feel she has to hurry 

        She no longer needs you"
"1688745003-213","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-flying.htm","""Flying""","Instrumental"
"1688745006-214","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-fixing-a-hole.htm","""Fixing A Hole""","I'm fixing a hole where the rain gets in 

        and stops my mind from wandering 

        where it will go 

        I'm filling the cracks that ran though the door 

        and kept my mind from wandering 

        where it will go"
"1688745009-215","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-everybodys-trying-to-be-my-baby.htm","""Everybody's Trying To Be My Baby""","Well they took some honey from a tree 

        Dressed it up and they called it me"
"1688745012-216","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-everybodys-got-something-to-hide-except-me-and-my-monkey.htm","""Everybody's Got Something To Hide Except Me And My Monkey""","Come on, come on 

        come on, come on 

        Come on is such a joy 

        come on is such a joy 

        come on it take it easy 

        come on is take it easy 

        Take it easy 

        Take is easy 

        Everybody's got something to hide 

        except for me and my monkey 

        Hey"
"1688745015-217","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-every-little-thing.htm","""Every Little Thing""","When I'm walking beside her 

        People tell me I'm lucky 

        Yes, I know I'm a lucky guy 

        I remember the first time 

        I was lonely without her 

        Can't stop thinking about her now"
"1688745018-218","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-eleanor-rigby.htm","""Eleanor Rigby""","Ah, look at all the lonely people 

        Ah, look at all the lonely people"
"1688745021-219","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-eight-days-a-week.htm","""Eight Days A Week""","Ooo I need your love, babe 

        guess you know it's true 

        Hope you need my love babe 

        just like I need you"
"1688745024-220","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-drive-my-car.htm","""Drive My Car""","Asked a girl what she wanted to be 

        She said ""baby can't you see 

        I wanna be famous, a star of the screen 

        But you do something in between"""
"1688745027-221","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-dont-pass-me-by.htm","""Don't Pass Me By""","I listen for your foot steps 

        Coming up the drive 

        Listen for you foot steps 

        But they don't arrive 

        Waiting for you knock, dear 

        on my old front door 

        I don't hear it 

        Does it mean you don't love me anymore"
"1688745030-222","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-dont-let-me-down.htm","""Don't Let Me Down""","Don't let me down 

        Hey, don't let me down 

        Don't let me down 

        Don't let me down"
"1688745033-223","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-dont-ever-change.htm","""Don't Ever Change""","Lyrics go here"
